device_id,device_type,os,device_age_days
DEV_0144,MOBILE,iOS,1421
DEV_0145,MOBILE,Android,1388
DEV_0146,MOBILE,Android,1375
DEV_0147,DESKTOP,Windows,1373
DEV_0148,DESKTOP,macOS,630
DEV_0149,MOBILE,Android,683
DEV_0150,MOBILE,Android,275
DEV_0151,MOBILE,Android,791
DEV_0152,MOBILE,iOS,1275
DEV_0153,MOBILE,Android,1722
DEV_0154,MOBILE,Android,895
DEV_0155,DESKTOP,Windows,674
DEV_0156,MOBILE,Android,452
DEV_0157,MOBILE,Android,1645
DEV_0158,MOBILE,Android,596
DEV_0159,MOBILE,Android,701
DEV_0160,MOBILE,iOS,496
DEV_0161,MOBILE,Android,422
DEV_0162,MOBILE,Android,988
DEV_0163,MOBILE,Android,947
DEV_0164,MOBILE,Android,413
DEV_0165,MOBILE,Android,833
DEV_0166,MOBILE,Android,26
DEV_0167,DESKTOP,macOS,233
DEV_0168,DESKTOP,Windows,1661
DEV_0169,TABLET,Android,117
DEV_0170,MOBILE,iOS,263
DEV_0171,MOBILE,iOS,1382
DEV_0172,MOBILE,Android,664
DEV_0173,TABLET,iPadOS,1269
DEV_0174,DESKTOP,macOS,888
DEV_0175,DESKTOP,Windows,340
DEV_0176,MOBILE,Android,545
DEV_0177,DESKTOP,macOS,582
DEV_0178,DESKTOP,Windows,1298
DEV_0179,MOBILE,Android,1476
DEV_0180,MOBILE,Android,669
DEV_0181,DESKTOP,Windows,323
DEV_0182,MOBILE,Android,1461
DEV_0183,MOBILE,Android,692
DEV_0184,MOBILE,Android,438
DEV_0185,DESKTOP,Windows,1591
DEV_0186,MOBILE,Android,1769
DEV_0187,DESKTOP,Windows,991
DEV_0188,MOBILE,Android,1558
DEV_0189,MOBILE,iOS,1726
DEV_0190,MOBILE,Android,1133
DEV_0191,DESKTOP,macOS,1014
DEV_0192,MOBILE,Android,74
DEV_0193,MOBILE,Android,1649
DEV_0194,MOBILE,Android,972
DEV_0195,DESKTOP,Linux,1108
DEV_0196,MOBILE,Android,1170
DEV_0197,MOBILE,Android,892
DEV_0198,MOBILE,Android,117
DEV_0199,MOBILE,Android,946
DEV_0200,MOBILE,Android,791
DEV_0201,MOBILE,iOS,878
DEV_0202,MOBILE,Android,54
DEV_0203,MOBILE,Android,731
DEV_0204,MOBILE,Android,1349
DEV_0205,MOBILE,Android,521
DEV_0206,MOBILE,Android,327
DEV_0207,MOBILE,Android,249
DEV_0208,MOBILE,Android,1447
DEV_0209,MOBILE,Android,1255
DEV_0210,MOBILE,Android,249
DEV_0211,DESKTOP,Windows,652
DEV_0212,MOBILE,Android,653
DEV_0213,MOBILE,iOS,783
DEV_0214,MOBILE,Android,170
DEV_0215,MOBILE,iOS,512
DEV_0216,MOBILE,Android,1756
DEV_0217,MOBILE,iOS,1645
DEV_0218,TABLET,iPadOS,726
DEV_0219,MOBILE,Android,156
DEV_0220,MOBILE,Android,1754
DEV_0221,MOBILE,Android,902
DEV_0222,TABLET,iPadOS,1712
DEV_0223,MOBILE,Android,375
DEV_0224,MOBILE,iOS,568
DEV_0225,MOBILE,iOS,1601
DEV_0226,MOBILE,Android,1512
DEV_0227,MOBILE,Android,517
DEV_0228,DESKTOP,Windows,938
DEV_0229,MOBILE,Android,1264
DEV_0230,MOBILE,Android,1027
DEV_0231,DESKTOP,Windows,449
DEV_0232,MOBILE,Android,587
DEV_0233,DESKTOP,macOS,580
DEV_0234,MOBILE,Android,406
DEV_0235,MOBILE,Android,1015
DEV_0236,MOBILE,Android,990
DEV_0237,MOBILE,Android,1638
DEV_0238,MOBILE,Android,843
DEV_0239,MOBILE,Android,1206
DEV_0240,MOBILE,Android,719
DEV_0241,MOBILE,Android,692
DEV_0242,MOBILE,Android,642
DEV_0243,MOBILE,Android,409
DEV_0244,MOBILE,Android,1575
DEV_0245,MOBILE,Android,1527
DEV_0246,MOBILE,Android,1571
DEV_0247,MOBILE,Android,220
DEV_0248,DESKTOP,Windows,754
DEV_0249,MOBILE,Android,1108
DEV_0250,MOBILE,Android,126
DEV_0251,MOBILE,Android,273
DEV_0252,MOBILE,Android,225
DEV_0253,DESKTOP,Windows,976
DEV_0254,MOBILE,Android,120
DEV_0255,MOBILE,iOS,248
DEV_0256,DESKTOP,Windows,166
DEV_0257,MOBILE,Android,325
DEV_0258,MOBILE,Android,637
DEV_0259,MOBILE,Android,1157
DEV_0260,DESKTOP,Windows,1634
DEV_0261,MOBILE,Android,794
DEV_0262,MOBILE,Android,1776
DEV_0263,MOBILE,Android,1179
DEV_0264,MOBILE,Android,1530
DEV_0265,MOBILE,Android,1296
DEV_0266,MOBILE,Android,336
DEV_0267,MOBILE,Android,335
DEV_0268,MOBILE,Android,1231
DEV_0269,MOBILE,Android,605
DEV_0270,MOBILE,Android,944
DEV_0271,MOBILE,Android,556
DEV_0272,DESKTOP,Windows,1369
DEV_0273,DESKTOP,Windows,250
DEV_0274,MOBILE,Android,559
DEV_0275,DESKTOP,Windows,354
DEV_0276,DESKTOP,Windows,1703
DEV_0277,MOBILE,Android,269
DEV_0278,MOBILE,Android,839
DEV_0279,DESKTOP,Windows,1026
DEV_0280,MOBILE,Android,899
DEV_0281,MOBILE,Android,67
DEV_0282,MOBILE,iOS,1727
DEV_0283,DESKTOP,Windows,57
DEV_0284,TABLET,iPadOS,566
DEV_0285,MOBILE,Android,373
DEV_0286,MOBILE,Android,584
DEV_0287,MOBILE,Android,1315
DEV_0288,DESKTOP,Linux,977
DEV_0289,MOBILE,Android,1387
DEV_0290,MOBILE,Android,858
DEV_0291,MOBILE,Android,835
DEV_0292,DESKTOP,Windows,946
DEV_0293,MOBILE,Android,252
DEV_0294,TABLET,Android,1068
DEV_0295,DESKTOP,Windows,1795
DEV_0296,MOBILE,Android,399
DEV_0297,MOBILE,Android,1035
DEV_0298,MOBILE,Android,431
DEV_0299,MOBILE,Android,604
DEV_0300,MOBILE,Android,263
DEV_0301,MOBILE,Android,1651
DEV_0302,MOBILE,Android,1143
DEV_0303,MOBILE,Android,475
DEV_0304,TABLET,iPadOS,960
DEV_0305,DESKTOP,Windows,330
DEV_0306,MOBILE,Android,1057
DEV_0307,MOBILE,Android,1003
DEV_0308,TABLET,Android,1143
DEV_0309,MOBILE,Android,1242
DEV_0310,MOBILE,iOS,1784
DEV_0311,MOBILE,Android,1764
DEV_0312,MOBILE,iOS,1054
DEV_0313,MOBILE,Android,1501
DEV_0314,MOBILE,Android,1366
DEV_0315,MOBILE,Android,1118
DEV_0316,MOBILE,Android,1577
DEV_0317,MOBILE,Android,674
DEV_0318,DESKTOP,Linux,504
DEV_0319,MOBILE,Android,1603
DEV_0320,MOBILE,Android,983
DEV_0321,MOBILE,iOS,805
DEV_0322,TABLET,iPadOS,1350
DEV_0323,TABLET,Android,90
DEV_0324,MOBILE,iOS,694
DEV_0325,DESKTOP,macOS,916
DEV_0326,MOBILE,iOS,46
DEV_0327,MOBILE,Android,1355
DEV_0328,TABLET,Android,1615
DEV_0329,TABLET,Android,1433
DEV_0330,MOBILE,Android,687
DEV_0331,DESKTOP,macOS,793
DEV_0332,TABLET,iPadOS,1570
DEV_0333,MOBILE,Android,1279
DEV_0334,MOBILE,Android,603
DEV_0335,TABLET,iPadOS,903
DEV_0336,TABLET,iPadOS,1456
DEV_0337,DESKTOP,Windows,1436
DEV_0338,MOBILE,Android,679
DEV_0339,DESKTOP,Windows,782
DEV_0340,MOBILE,Android,858
DEV_0341,MOBILE,Android,363
DEV_0342,MOBILE,Android,798
DEV_0343,MOBILE,Android,1209
DEV_0344,MOBILE,Android,535
DEV_0345,MOBILE,Android,1662
DEV_0346,MOBILE,Android,1134
DEV_0347,MOBILE,Android,722
DEV_0348,TABLET,Android,883
DEV_0349,MOBILE,Android,633
DEV_0350,MOBILE,Android,1004
DEV_0351,MOBILE,Android,750
DEV_0352,MOBILE,iOS,619
DEV_0353,MOBILE,iOS,825
DEV_0354,MOBILE,Android,1419
DEV_0355,DESKTOP,Linux,1256
DEV_0356,MOBILE,iOS,601
DEV_0357,DESKTOP,Windows,1657
DEV_0358,MOBILE,Android,1286
DEV_0359,MOBILE,Android,1586
DEV_0360,MOBILE,iOS,1301
DEV_0361,MOBILE,Android,95
DEV_0362,MOBILE,Android,1201
DEV_0363,MOBILE,Android,619
DEV_0364,MOBILE,Android,426
DEV_0365,MOBILE,Android,764
DEV_0366,MOBILE,iOS,1715
DEV_0367,MOBILE,iOS,1001
DEV_0368,TABLET,Android,1797
DEV_0369,MOBILE,Android,169
DEV_0370,MOBILE,iOS,1776
DEV_0371,MOBILE,Android,828
DEV_0372,TABLET,iPadOS,764
DEV_0373,MOBILE,Android,556
DEV_0374,MOBILE,Android,1392
DEV_0375,MOBILE,Android,795
DEV_0376,DESKTOP,macOS,236
DEV_0377,MOBILE,Android,1283
DEV_0378,DESKTOP,Windows,1264
DEV_0379,MOBILE,Android,1702
DEV_0380,MOBILE,Android,1344
DEV_0381,MOBILE,Android,91
DEV_0382,MOBILE,Android,214
DEV_0383,MOBILE,Android,810
DEV_0384,MOBILE,Android,1536
DEV_0385,MOBILE,Android,1217
DEV_0386,MOBILE,Android,864
DEV_0387,MOBILE,iOS,1275
DEV_0388,MOBILE,iOS,82
DEV_0389,MOBILE,Android,925
DEV_0390,TABLET,iPadOS,218
DEV_0391,TABLET,Android,1335
DEV_0392,MOBILE,Android,403
DEV_0393,TABLET,iPadOS,1702
DEV_0394,MOBILE,Android,1329
DEV_0395,MOBILE,iOS,118
DEV_0396,DESKTOP,Windows,272
DEV_0397,DESKTOP,Windows,1714
DEV_0398,DESKTOP,Windows,457
DEV_0399,DESKTOP,Windows,1600
DEV_0400,MOBILE,iOS,20
DEV_0401,MOBILE,iOS,281
DEV_0402,MOBILE,Android,240
DEV_0403,MOBILE,Android,45
DEV_0404,MOBILE,Android,1220
DEV_0405,MOBILE,Android,122
DEV_0406,MOBILE,Android,247
DEV_0407,MOBILE,Android,1608
DEV_0408,MOBILE,Android,940
DEV_0409,MOBILE,iOS,103
DEV_0410,MOBILE,iOS,1364
DEV_0411,MOBILE,Android,78
DEV_0412,MOBILE,Android,837
DEV_0413,MOBILE,Android,1473
DEV_0414,DESKTOP,Windows,180
DEV_0415,MOBILE,Android,273
DEV_0416,MOBILE,Android,1138
DEV_0417,MOBILE,Android,1238
DEV_0418,MOBILE,Android,1254
DEV_0419,MOBILE,Android,249
DEV_0420,DESKTOP,Windows,1589
DEV_0421,MOBILE,iOS,895
DEV_0422,MOBILE,Android,709
DEV_0423,DESKTOP,Windows,1509
DEV_0424,MOBILE,Android,1377
DEV_0425,MOBILE,iOS,1421
DEV_0426,DESKTOP,Windows,1718
DEV_0427,MOBILE,Android,1539
DEV_0428,MOBILE,iOS,1154
DEV_0429,MOBILE,iOS,1165
DEV_0430,MOBILE,Android,739
DEV_0431,DESKTOP,macOS,881
DEV_0432,DESKTOP,macOS,604
DEV_0433,MOBILE,Android,1198
DEV_0434,MOBILE,Android,1002
DEV_0435,MOBILE,Android,1746
DEV_0436,MOBILE,Android,585
DEV_0437,MOBILE,iOS,1745
DEV_0438,MOBILE,Android,1288
DEV_0439,MOBILE,Android,68
DEV_0440,MOBILE,Android,1435
DEV_0441,MOBILE,Android,1454
DEV_0442,DESKTOP,macOS,733
DEV_0443,MOBILE,iOS,1174
DEV_0444,MOBILE,Android,1532
DEV_0445,MOBILE,Android,1543
DEV_0446,MOBILE,Android,944
DEV_0447,MOBILE,Android,1492
DEV_0448,MOBILE,iOS,1236
DEV_0449,MOBILE,Android,337
DEV_0450,DESKTOP,Windows,182
DEV_0451,MOBILE,Android,1009
DEV_0452,MOBILE,Android,456
DEV_0453,DESKTOP,Windows,895
DEV_0454,MOBILE,Android,1229
DEV_0455,MOBILE,Android,108
DEV_0456,MOBILE,iOS,127
DEV_0457,MOBILE,Android,447
DEV_0458,DESKTOP,macOS,607
DEV_0459,MOBILE,Android,1544
DEV_0460,MOBILE,Android,1105
DEV_0461,MOBILE,Android,1721
DEV_0462,MOBILE,Android,828
DEV_0463,DESKTOP,Windows,53
DEV_0464,MOBILE,Android,656
DEV_0465,MOBILE,Android,1468
DEV_0466,MOBILE,Android,844
DEV_0467,MOBILE,Android,1656
DEV_0468,DESKTOP,Windows,1427
DEV_0469,DESKTOP,Windows,1744
DEV_0470,MOBILE,Android,835
DEV_0471,MOBILE,Android,650
DEV_0472,MOBILE,Android,1610
DEV_0473,MOBILE,Android,248
DEV_0474,MOBILE,Android,1604
DEV_0475,MOBILE,Android,1692
DEV_0476,MOBILE,Android,225
DEV_0477,MOBILE,Android,1248
DEV_0478,MOBILE,Android,169
DEV_0479,MOBILE,Android,1026
DEV_0480,MOBILE,Android,1201
DEV_0481,MOBILE,iOS,1171
DEV_0482,MOBILE,iOS,676
DEV_0483,DESKTOP,Windows,324
DEV_0484,MOBILE,Android,1308
DEV_0485,MOBILE,Android,130
DEV_0486,MOBILE,Android,960
DEV_0487,MOBILE,Android,1718
DEV_0488,MOBILE,Android,1766
DEV_0489,MOBILE,Android,802
DEV_0490,MOBILE,Android,1636
DEV_0491,MOBILE,Android,1673
DEV_0492,MOBILE,Android,1254
DEV_0493,MOBILE,Android,141
DEV_0494,MOBILE,iOS,1729
DEV_0495,MOBILE,Android,1048
DEV_0496,MOBILE,Android,1464
DEV_0497,MOBILE,Android,1085
DEV_0498,MOBILE,Android,594
DEV_0499,MOBILE,Android,1405
DEV_0500,MOBILE,Android,1340
