merchant_id,merchant_category,merchant_size,city
MERCH_0068,DIGITAL_ENTERTAINMENT,MEDIUM,Hyderabad
MERCH_0069,GROCERY,MEDIUM,Kolkata
MERCH_0070,UTILITIES,SMALL,Bengaluru
MERCH_0071,UTILITIES,MEDIUM,Jaipur
MERCH_0072,FASHION,LARGE,Chennai
MERCH_0073,TRAVEL,MEDIUM,Jaipur
MERCH_0074,TRAVEL,MEDIUM,Bengaluru
MERCH_0075,GROCERY,SMALL,Bengaluru
MERCH_0076,JEWELRY,MEDIUM,Chennai
MERCH_0077,FASHION,MEDIUM,Pune
MERCH_0078,ECOMMERCE,SMALL,Jaipur
MERCH_0079,ECOMMERCE,SMALL,Bengaluru
MERCH_0080,TRAVEL,SMALL,Ahmedabad
MERCH_0081,ECOMMERCE,SMALL,Delhi
MERCH_0082,ECOMMERCE,MEDIUM,Pune
MERCH_0083,UTILITIES,SMALL,Ahmedabad
MERCH_0084,GAMING,MEDIUM,Mumbai
MERCH_0085,GAMING,SMALL,Delhi
MERCH_0086,ECOMMERCE,SMALL,Kolkata
MERCH_0087,FOOD_DELIVERY,MEDIUM,Delhi
MERCH_0088,ELECTRONICS,LARGE,Chennai
MERCH_0089,UTILITIES,LARGE,Bengaluru
MERCH_0090,ELECTRONICS,SMALL,Ahmedabad
MERCH_0091,ELECTRONICS,MEDIUM,Mumbai
MERCH_0092,ELECTRONICS,MEDIUM,Bengaluru
MERCH_0093,DIGITAL_ENTERTAINMENT,MEDIUM,Hyderabad
MERCH_0094,JEWELRY,SMALL,Chennai
MERCH_0095,GAMING,SMALL,Mumbai
MERCH_0096,DIGITAL_ENTERTAINMENT,MEDIUM,Chennai
MERCH_0097,JEWELRY,MEDIUM,Hyderabad
MERCH_0098,GAMING,LARGE,Hyderabad
MERCH_0099,FOOD_DELIVERY,SMALL,Kolkata
MERCH_0100,GAMING,SMALL,Chennai
