payment_method_id,payment_type,issuer_category
PM_0271,CREDIT_CARD,FINTECH_WALLET
PM_0272,UPI,FINTECH_WALLET
PM_0273,DEBIT_CARD,PRIVATE_BANK
PM_0274,UPI,FINTECH_WALLET
PM_0275,UPI,PRIVATE_BANK
PM_0276,UPI,PRIVATE_BANK
PM_0277,UPI,PUBLIC_BANK
PM_0278,UPI,PUBLIC_BANK
PM_0279,UPI,FINTECH_WALLET
PM_0280,NET_BANKING,PRIVATE_BANK
PM_0281,UPI,PRIVATE_BANK
PM_0282,UPI,PRIVATE_BANK
PM_0283,UPI,PUBLIC_BANK
PM_0284,CREDIT_CARD,PUBLIC_BANK
PM_0285,CREDIT_CARD,PUBLIC_BANK
PM_0286,DEBIT_CARD,PRIVATE_BANK
PM_0287,UPI,PUBLIC_BANK
PM_0288,CREDIT_CARD,PRIVATE_BANK
PM_0289,UPI,NEOBANK
PM_0290,UPI,FINTECH_WALLET
PM_0291,UPI,PUBLIC_BANK
PM_0292,UPI,PRIVATE_BANK
PM_0293,DEBIT_CARD,FINTECH_WALLET
PM_0294,UPI,PRIVATE_BANK
PM_0295,UPI,FINTECH_WALLET
PM_0296,WALLET,FINTECH_WALLET
PM_0297,CREDIT_CARD,NEOBANK
PM_0298,UPI,FINTECH_WALLET
PM_0299,UPI,PUBLIC_BANK
PM_0300,CREDIT_CARD,PRIVATE_BANK
PM_0301,UPI,PUBLIC_BANK
PM_0302,UPI,PRIVATE_BANK
PM_0303,CREDIT_CARD,PUBLIC_BANK
PM_0304,NET_BANKING,FINTECH_WALLET
PM_0305,UPI,PUBLIC_BANK
PM_0306,CREDIT_CARD,PUBLIC_BANK
PM_0307,UPI,PRIVATE_BANK
PM_0308,CREDIT_CARD,PUBLIC_BANK
PM_0309,DEBIT_CARD,INTERNATIONAL_CARD
PM_0310,UPI,PRIVATE_BANK
PM_0311,UPI,PRIVATE_BANK
PM_0312,UPI,PUBLIC_BANK
PM_0313,CREDIT_CARD,NEOBANK
PM_0314,UPI,PRIVATE_BANK
PM_0315,UPI,PUBLIC_BANK
PM_0316,UPI,PUBLIC_BANK
PM_0317,UPI,PUBLIC_BANK
PM_0318,CREDIT_CARD,PRIVATE_BANK
PM_0319,UPI,PRIVATE_BANK
PM_0320,DEBIT_CARD,NEOBANK
PM_0321,UPI,PUBLIC_BANK
PM_0322,DEBIT_CARD,PRIVATE_BANK
PM_0323,CREDIT_CARD,PUBLIC_BANK
PM_0324,UPI,PRIVATE_BANK
PM_0325,UPI,PRIVATE_BANK
PM_0326,UPI,PRIVATE_BANK
PM_0327,UPI,PUBLIC_BANK
PM_0328,CREDIT_CARD,PUBLIC_BANK
PM_0329,UPI,FINTECH_WALLET
PM_0330,DEBIT_CARD,PUBLIC_BANK
PM_0331,CREDIT_CARD,PRIVATE_BANK
PM_0332,CREDIT_CARD,FINTECH_WALLET
PM_0333,DEBIT_CARD,PRIVATE_BANK
PM_0334,DEBIT_CARD,PRIVATE_BANK
PM_0335,DEBIT_CARD,PUBLIC_BANK
PM_0336,UPI,PUBLIC_BANK
PM_0337,DEBIT_CARD,PRIVATE_BANK
PM_0338,CREDIT_CARD,PUBLIC_BANK
PM_0339,UPI,FINTECH_WALLET
PM_0340,CREDIT_CARD,FINTECH_WALLET
PM_0341,UPI,PRIVATE_BANK
PM_0342,UPI,PRIVATE_BANK
PM_0343,UPI,PUBLIC_BANK
PM_0344,WALLET,INTERNATIONAL_CARD
PM_0345,CREDIT_CARD,PRIVATE_BANK
PM_0346,UPI,PUBLIC_BANK
PM_0347,CREDIT_CARD,PRIVATE_BANK
PM_0348,DEBIT_CARD,PUBLIC_BANK
PM_0349,CREDIT_CARD,NEOBANK
PM_0350,UPI,PRIVATE_BANK
PM_0351,UPI,PUBLIC_BANK
PM_0352,UPI,PRIVATE_BANK
PM_0353,UPI,PRIVATE_BANK
PM_0354,UPI,NEOBANK
PM_0355,DEBIT_CARD,PUBLIC_BANK
PM_0356,CREDIT_CARD,PUBLIC_BANK
PM_0357,WALLET,PRIVATE_BANK
PM_0358,UPI,PRIVATE_BANK
PM_0359,CREDIT_CARD,PRIVATE_BANK
PM_0360,UPI,PRIVATE_BANK
PM_0361,CREDIT_CARD,FINTECH_WALLET
PM_0362,UPI,PUBLIC_BANK
PM_0363,WALLET,PUBLIC_BANK
PM_0364,UPI,FINTECH_WALLET
PM_0365,UPI,PRIVATE_BANK
PM_0366,DEBIT_CARD,PUBLIC_BANK
PM_0367,DEBIT_CARD,PRIVATE_BANK
PM_0368,UPI,PRIVATE_BANK
PM_0369,UPI,PUBLIC_BANK
PM_0370,UPI,PRIVATE_BANK
PM_0371,DEBIT_CARD,PRIVATE_BANK
PM_0372,UPI,PUBLIC_BANK
PM_0373,UPI,PRIVATE_BANK
PM_0374,UPI,PRIVATE_BANK
PM_0375,CREDIT_CARD,PRIVATE_BANK
PM_0376,UPI,PUBLIC_BANK
PM_0377,CREDIT_CARD,PUBLIC_BANK
PM_0378,UPI,FINTECH_WALLET
PM_0379,UPI,PUBLIC_BANK
PM_0380,NET_BANKING,PRIVATE_BANK
PM_0381,UPI,NEOBANK
PM_0382,CREDIT_CARD,FINTECH_WALLET
PM_0383,CREDIT_CARD,FINTECH_WALLET
PM_0384,NET_BANKING,PUBLIC_BANK
PM_0385,CREDIT_CARD,PRIVATE_BANK
PM_0386,UPI,PUBLIC_BANK
PM_0387,UPI,PUBLIC_BANK
PM_0388,CREDIT_CARD,PRIVATE_BANK
PM_0389,CREDIT_CARD,PRIVATE_BANK
PM_0390,UPI,PRIVATE_BANK
PM_0391,NET_BANKING,PRIVATE_BANK
PM_0392,UPI,PRIVATE_BANK
PM_0393,UPI,PUBLIC_BANK
PM_0394,UPI,NEOBANK
PM_0395,CREDIT_CARD,FINTECH_WALLET
PM_0396,CREDIT_CARD,PUBLIC_BANK
PM_0397,NET_BANKING,PRIVATE_BANK
PM_0398,DEBIT_CARD,PRIVATE_BANK
PM_0399,DEBIT_CARD,PUBLIC_BANK
PM_0400,CREDIT_CARD,NEOBANK
PM_0401,UPI,PUBLIC_BANK
PM_0402,NET_BANKING,PRIVATE_BANK
PM_0403,UPI,PRIVATE_BANK
PM_0404,DEBIT_CARD,PRIVATE_BANK
PM_0405,UPI,NEOBANK
PM_0406,UPI,PRIVATE_BANK
PM_0407,UPI,FINTECH_WALLET
PM_0408,NET_BANKING,FINTECH_WALLET
PM_0409,CREDIT_CARD,PRIVATE_BANK
PM_0410,UPI,PRIVATE_BANK
PM_0411,NET_BANKING,PUBLIC_BANK
PM_0412,CREDIT_CARD,PRIVATE_BANK
PM_0413,UPI,PUBLIC_BANK
PM_0414,CREDIT_CARD,PUBLIC_BANK
PM_0415,UPI,PRIVATE_BANK
PM_0416,UPI,PUBLIC_BANK
PM_0417,DEBIT_CARD,PRIVATE_BANK
PM_0418,UPI,PRIVATE_BANK
PM_0419,CREDIT_CARD,PUBLIC_BANK
PM_0420,UPI,PRIVATE_BANK
PM_0421,CREDIT_CARD,INTERNATIONAL_CARD
PM_0422,UPI,PUBLIC_BANK
PM_0423,CREDIT_CARD,PRIVATE_BANK
PM_0424,UPI,PRIVATE_BANK
PM_0425,UPI,INTERNATIONAL_CARD
PM_0426,CREDIT_CARD,PRIVATE_BANK
PM_0427,UPI,PUBLIC_BANK
PM_0428,DEBIT_CARD,PUBLIC_BANK
PM_0429,UPI,PRIVATE_BANK
PM_0430,NET_BANKING,PUBLIC_BANK
PM_0431,UPI,PRIVATE_BANK
PM_0432,DEBIT_CARD,PRIVATE_BANK
PM_0433,CREDIT_CARD,PUBLIC_BANK
PM_0434,UPI,PRIVATE_BANK
PM_0435,DEBIT_CARD,FINTECH_WALLET
PM_0436,UPI,PRIVATE_BANK
PM_0437,UPI,PUBLIC_BANK
PM_0438,UPI,PRIVATE_BANK
PM_0439,CREDIT_CARD,NEOBANK
PM_0440,UPI,PRIVATE_BANK
PM_0441,UPI,NEOBANK
PM_0442,UPI,PRIVATE_BANK
PM_0443,UPI,PRIVATE_BANK
PM_0444,UPI,FINTECH_WALLET
PM_0445,NET_BANKING,PRIVATE_BANK
PM_0446,UPI,PRIVATE_BANK
PM_0447,UPI,PRIVATE_BANK
PM_0448,CREDIT_CARD,PRIVATE_BANK
PM_0449,UPI,PRIVATE_BANK
PM_0450,WALLET,PUBLIC_BANK
PM_0451,UPI,PRIVATE_BANK
PM_0452,CREDIT_CARD,PRIVATE_BANK
PM_0453,UPI,PUBLIC_BANK
PM_0454,CREDIT_CARD,NEOBANK
PM_0455,UPI,PRIVATE_BANK
PM_0456,CREDIT_CARD,PRIVATE_BANK
PM_0457,UPI,FINTECH_WALLET
PM_0458,UPI,NEOBANK
PM_0459,UPI,PRIVATE_BANK
PM_0460,UPI,PUBLIC_BANK
PM_0461,UPI,PRIVATE_BANK
PM_0462,UPI,PUBLIC_BANK
PM_0463,UPI,PRIVATE_BANK
PM_0464,UPI,PRIVATE_BANK
PM_0465,DEBIT_CARD,PUBLIC_BANK
PM_0466,UPI,PRIVATE_BANK
PM_0467,UPI,PUBLIC_BANK
PM_0468,UPI,PRIVATE_BANK
PM_0469,CREDIT_CARD,FINTECH_WALLET
PM_0470,DEBIT_CARD,PRIVATE_BANK
PM_0471,UPI,PRIVATE_BANK
PM_0472,DEBIT_CARD,PUBLIC_BANK
PM_0473,CREDIT_CARD,FINTECH_WALLET
PM_0474,UPI,PRIVATE_BANK
PM_0475,UPI,PRIVATE_BANK
PM_0476,UPI,PUBLIC_BANK
PM_0477,UPI,PRIVATE_BANK
PM_0478,UPI,PRIVATE_BANK
PM_0479,UPI,PUBLIC_BANK
PM_0480,UPI,PRIVATE_BANK
PM_0481,UPI,PRIVATE_BANK
PM_0482,NET_BANKING,PUBLIC_BANK
PM_0483,CREDIT_CARD,PUBLIC_BANK
PM_0484,UPI,PUBLIC_BANK
PM_0485,UPI,FINTECH_WALLET
PM_0486,DEBIT_CARD,PRIVATE_BANK
PM_0487,DEBIT_CARD,PUBLIC_BANK
PM_0488,UPI,NEOBANK
PM_0489,UPI,PUBLIC_BANK
PM_0490,DEBIT_CARD,NEOBANK
PM_0491,DEBIT_CARD,PRIVATE_BANK
PM_0492,UPI,FINTECH_WALLET
PM_0493,DEBIT_CARD,PRIVATE_BANK
PM_0494,UPI,PUBLIC_BANK
PM_0495,DEBIT_CARD,PRIVATE_BANK
PM_0496,UPI,PRIVATE_BANK
PM_0497,UPI,PRIVATE_BANK
PM_0498,UPI,NEOBANK
PM_0499,UPI,PUBLIC_BANK
PM_0500,DEBIT_CARD,PRIVATE_BANK
